[::1] DEB:03/20/2014 - 08:34:37 | Starting Application
[::1] DEB:03/20/2014 - 10:01:25 | deleting cache file: /Library/WebServer/Documents/UM-Web-Workspace/HealthLibrary/cache/Data2
[::1] DEB:03/20/2014 - 10:01:25 | Retreive Data 2: 
[::1] DEB:03/20/2014 - 11:08:36 | Starting test-cache.php
[::1] DEB:03/20/2014 - 11:08:36 | Set the cache directory: /Library/WebServer/Documents/UM-Web-Workspace/HealthLibrary/cache
[::1] DEB:03/20/2014 - 11:08:36 | Set the expiration to (seconds): 15
[::1] DEB:03/20/2014 - 11:08:36 | Create 3 cache entries
[::1] DEB:03/20/2014 - 11:08:36 | Data1 written to cache: 532b047435300
[::1] DEB:03/20/2014 - 11:08:36 | Return: true
[::1] DEB:03/20/2014 - 11:08:36 | Data2 written to cache: 532b047435314
[::1] DEB:03/20/2014 - 11:08:36 | Return: true
[::1] DEB:03/20/2014 - 11:08:36 | Data3 written to cache: 532b047435323
[::1] DEB:03/20/2014 - 11:08:36 | Return: true
[::1] DEB:03/20/2014 - 11:08:36 | Sleep for 10 seconds
[::1] DEB:03/20/2014 - 11:08:46 | FileCache::hasExpired
[::1] DEB:03/20/2014 - 11:08:46 | Cache File: /Library/WebServer/Documents/UM-Web-Workspace/HealthLibrary/cache/Data1
[::1] DEB:03/20/2014 - 11:08:46 | Mod Time: 1395328116 (2014-03-20 11:08:36)
[::1] DEB:03/20/2014 - 11:08:46 | Current Time: 1395328126 (2014-03-20 11:08:46)
[::1] DEB:03/20/2014 - 11:08:46 | Time to check: 1395328111 (2014-03-20 11:08:31)
[::1] DEB:03/20/2014 - 11:08:46 | The item has expired
[::1] DEB:03/20/2014 - 11:08:46 | deleting cache file: /Library/WebServer/Documents/UM-Web-Workspace/HealthLibrary/cache/Data1
[::1] DEB:03/20/2014 - 11:08:46 | Retreive Data 1: 
[::1] DEB:03/20/2014 - 11:08:46 | FileCache::hasExpired
[::1] DEB:03/20/2014 - 11:08:46 | Cache File: /Library/WebServer/Documents/UM-Web-Workspace/HealthLibrary/cache/Data2
[::1] DEB:03/20/2014 - 11:08:46 | Mod Time: 1395328116 (2014-03-20 11:08:36)
[::1] DEB:03/20/2014 - 11:08:46 | Current Time: 1395328126 (2014-03-20 11:08:46)
[::1] DEB:03/20/2014 - 11:08:46 | Time to check: 1395328111 (2014-03-20 11:08:31)
[::1] DEB:03/20/2014 - 11:08:46 | The item has expired
[::1] DEB:03/20/2014 - 11:08:46 | deleting cache file: /Library/WebServer/Documents/UM-Web-Workspace/HealthLibrary/cache/Data2
[::1] DEB:03/20/2014 - 11:08:46 | Retreive Data 2: 
[::1] DEB:03/20/2014 - 11:36:22 | Starting test-cache.php
[::1] DEB:03/20/2014 - 11:36:22 | Set the cache directory: /Library/WebServer/Documents/UM-Web-Workspace/HealthLibrary/cache
[::1] DEB:03/20/2014 - 11:36:22 | Set the expiration to (seconds): 15
[::1] DEB:03/20/2014 - 11:36:22 | Create 3 cache entries
[::1] DEB:03/20/2014 - 11:36:22 | Data1 written to cache: 532b0af6284b5
[::1] DEB:03/20/2014 - 11:36:22 | Return: true
[::1] DEB:03/20/2014 - 11:36:22 | Data2 written to cache: 532b0af6284c9
[::1] DEB:03/20/2014 - 11:36:22 | Return: true
[::1] DEB:03/20/2014 - 11:36:22 | Data3 written to cache: 532b0af6284db
[::1] DEB:03/20/2014 - 11:36:22 | Return: true
[::1] DEB:03/20/2014 - 11:36:22 | Sleep for 10 seconds
[::1] DEB:03/20/2014 - 11:36:32 | FileCache::hasExpired
[::1] DEB:03/20/2014 - 11:36:32 | Cache File: /Library/WebServer/Documents/UM-Web-Workspace/HealthLibrary/cache/Data1
[::1] DEB:03/20/2014 - 11:36:32 | Mod Time: 1395329782 (2014-03-20 11:36:22)
[::1] DEB:03/20/2014 - 11:36:32 | Current Time: 1395329792 (2014-03-20 11:36:32)
[::1] DEB:03/20/2014 - 11:36:32 | Expiration Time: 1395329777 (2014-03-20 11:36:17)
[::1] DEB:03/20/2014 - 11:36:32 | Retreive Data 1: 
[::1] DEB:03/20/2014 - 11:36:32 | FileCache::hasExpired
[::1] DEB:03/20/2014 - 11:36:32 | Cache File: /Library/WebServer/Documents/UM-Web-Workspace/HealthLibrary/cache/Data2
[::1] DEB:03/20/2014 - 11:36:32 | Mod Time: 1395329782 (2014-03-20 11:36:22)
[::1] DEB:03/20/2014 - 11:36:32 | Current Time: 1395329792 (2014-03-20 11:36:32)
[::1] DEB:03/20/2014 - 11:36:32 | Expiration Time: 1395329777 (2014-03-20 11:36:17)
[::1] DEB:03/20/2014 - 11:36:32 | Retreive Data 2: 
[::1] DEB:03/20/2014 - 11:37:52 | ********************
* Starting test-cache.php
********************

[::1] DEB:03/20/2014 - 11:37:52 | Set the cache directory: /Library/WebServer/Documents/UM-Web-Workspace/HealthLibrary/cache
[::1] DEB:03/20/2014 - 11:37:52 | Set the expiration to (seconds): 15
[::1] DEB:03/20/2014 - 11:37:52 | Create 3 cache entries
[::1] DEB:03/20/2014 - 11:37:52 | Data1 written to cache: 532b0b5048445
[::1] DEB:03/20/2014 - 11:37:52 | Return: true
[::1] DEB:03/20/2014 - 11:37:52 | Data2 written to cache: 532b0b5048450
[::1] DEB:03/20/2014 - 11:37:52 | Return: true
[::1] DEB:03/20/2014 - 11:37:52 | Data3 written to cache: 532b0b5048458
[::1] DEB:03/20/2014 - 11:37:52 | Return: true
[::1] DEB:03/20/2014 - 11:37:52 | Sleep for 10 seconds
[::1] DEB:03/20/2014 - 11:38:02 | FileCache::hasExpired
